0.25,0,0,0.933333333,1,0.586206897,0.966666667,0.366666667,0.71942446
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0.75,1,0,0,0,0.517241379,0,0,0
0.25,0.375,1,0.4,0.5,0.75862069,0.266666667,1,0.73381295
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.5,0.25,1,0.666666667,0.666666667,0.517241379,0.366666667,0,0.582733813
0.75,0.875,0.9,0.5,0,0.517241379,0.666666667,0,0.446043165
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.25,1,0.766666667,0,0,0,0.633333333,0,0.194244604
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
0.25,0,0,0.933333333,1,0.586206897,0.966666667,0.366666667,0.71942446
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0.25,0.375,1,0.4,0.5,0.75862069,0.266666667,1,0.73381295
0.75,0.25,0.833333333,1,0.866666667,0.517241379,1,0.933333333,1
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.25,0.375,1,0.4,0.5,0.75862069,0.266666667,1,0.73381295
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.25,1,0.766666667,0,0,0,0.633333333,0,0.194244604
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0,0.375,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.25,0.5,0,0,0.5,0.75862069,0.266666667,0.533333333,0.330935252
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.25,0.75,0,0.4,0,0.896551724,0,0,0.165467626
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.75,1,0,0,0,0.517241379,0,0,0
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.75,0.625,0,0.5,0,1,0.666666667,0.566666667,0.474820144
0.75,1,0,0,0,0.517241379,0,0,0
0.5,0.5,1,1,1,0.689655172,0.633333333,0.5,0.928057554
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.625,0.5,0.666666667,0.333333333,0.862068966,0.4,0,0.482014388
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0,0.875,0,0.333333333,0.4,0.517241379,0.466666667,0.9,0.45323741
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.5,0.625,0,1,0,0,0.633333333,0.5,0.352517986
0.5,0.5,1,1,1,0.689655172,0.633333333,0.5,0.928057554
0,0.125,0.666666667,0.5,0.833333333,0,0.733333333,0.333333333,0.553956835
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.75,1,0,0,0,0.517241379,0,0,0
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0,0.625,0.5,0.833333333,0,0,0,0.533333333,0.294964029
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
1,1,0,0,0,0,0.333333333,0.666666667,0.107913669
0.25,0.75,0,0.4,0,0.896551724,0,0,0.165467626
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.5,0.5,1,1,1,0.689655172,0.633333333,0.5,0.928057554
0.75,1,0,0,0,0.517241379,0,0,0
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.25,0.375,1,0.4,0.5,0.75862069,0.266666667,1,0.73381295
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
0,0.625,0.5,0.833333333,0,0,0,0.533333333,0.294964029
0.75,0.625,0,0.5,0,1,0.666666667,0.566666667,0.474820144
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0.25,1,0.766666667,0,0,0,0.633333333,0,0.194244604
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0.25,1,0.766666667,0,0,0,0.633333333,0,0.194244604
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0.25,0,0,0.933333333,1,0.586206897,0.966666667,0.366666667,0.71942446
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.75,0.875,0.9,0.5,0,0.517241379,0.666666667,0,0.446043165
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
0.75,0.25,0.833333333,1,0.866666667,0.517241379,1,0.933333333,1
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
1,0.625,0.5,0.666666667,0.333333333,0.862068966,0.4,0,0.482014388
0.25,0.125,1,0.933333333,0,0.586206897,0,0.366666667,0.510791367
1,1,0,0,0,0,0.333333333,0.666666667,0.107913669
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0,0.875,0,0.333333333,0.4,0.517241379,0.466666667,0.9,0.45323741
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.5,0.25,1,0.666666667,0.666666667,0.517241379,0.366666667,0,0.582733813
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0,0.625,0.5,0.833333333,0,0,0,0.533333333,0.294964029
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0.25,0.75,0,0.4,0,0.896551724,0,0,0.165467626
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,1,0,0,0,0,0.333333333,0.666666667,0.107913669
0.5,0.625,0,1,0,0,0.633333333,0.5,0.352517986
1,0.75,0,0.666666667,0.333333333,0,0,0,0.107913669
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.75,1,0,0,0,0.517241379,0,0,0
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.5,0.625,0,1,0,0,0.633333333,0.5,0.352517986
0.25,0.125,1,0.933333333,0,0.586206897,0,0.366666667,0.510791367
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
0.25,0.5,0,0,0.5,0.75862069,0.266666667,0.533333333,0.330935252
0.5,0.5,1,1,1,0.689655172,0.633333333,0.5,0.928057554
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.5,0.25,1,0.666666667,0.666666667,0.517241379,0.366666667,0,0.582733813
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
0.5,0.625,0,1,0,0,0.633333333,0.5,0.352517986
0,0.375,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0,0.875,0,0.333333333,0.4,0.517241379,0.466666667,0.9,0.45323741
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0.75,0.875,0.9,0.5,0,0.517241379,0.666666667,0,0.446043165
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0.75,1,0,0,0,0.517241379,0,0,0
0.75,1,0,0,0,0.517241379,0,0,0
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0,0.375,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0,0.625,0.5,0.833333333,0,0,0,0.533333333,0.294964029
0.75,0.25,0.833333333,1,0.866666667,0.517241379,1,0.933333333,1
0,0.625,0.5,0.833333333,0,0,0,0.533333333,0.294964029
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0.75,0.625,0,0.5,0,1,0.666666667,0.566666667,0.474820144
0.75,1,0,0,0,0.517241379,0,0,0
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
1,0.75,0,0.666666667,0.333333333,0,0,0,0.107913669
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0,0.125,0.666666667,0.5,0.833333333,0,0.733333333,0.333333333,0.553956835
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0.25,0,0,0.933333333,1,0.586206897,0.966666667,0.366666667,0.71942446
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.25,0,0,0.933333333,1,0.586206897,0.966666667,0.366666667,0.71942446
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0,0.125,0.666666667,0.5,0.833333333,0,0.733333333,0.333333333,0.553956835
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
1,0.625,0.5,0.666666667,0.333333333,0.862068966,0.4,0,0.482014388
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0,0.875,0,0.333333333,0.4,0.517241379,0.466666667,0.9,0.45323741
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,0.625,0.5,0.666666667,0.333333333,0.862068966,0.4,0,0.482014388
0.25,1,0.766666667,0,0,0,0.633333333,0,0.194244604
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0.75,0.875,0.9,0.5,0,0.517241379,0.666666667,0,0.446043165
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
1,0.75,0,0.666666667,0.333333333,0,0,0,0.107913669
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0,0.625,0.5,0.833333333,0,0,0,0.533333333,0.294964029
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0.25,0.125,1,0.933333333,0,0.586206897,0,0.366666667,0.510791367
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.75,0.25,0.833333333,1,0.866666667,0.517241379,1,0.933333333,1
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0.25,0,0,0.933333333,1,0.586206897,0.966666667,0.366666667,0.71942446
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.5,0.5,1,1,1,0.689655172,0.633333333,0.5,0.928057554
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.75,0.875,0.9,0.5,0,0.517241379,0.666666667,0,0.446043165
1,0.75,0,0.666666667,0.333333333,0,0,0,0.107913669
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0.25,0.125,1,0.933333333,0,0.586206897,0,0.366666667,0.510791367
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.5,0.5,1,1,1,0.689655172,0.633333333,0.5,0.928057554
0,0.125,0.666666667,0.5,0.833333333,0,0.733333333,0.333333333,0.553956835
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,0.75,0,0.666666667,0.333333333,0,0,0,0.107913669
1,0.5,0.5,0.333333333,0,0.862068966,0.4,0.4,0.424460432
0.5,0.25,1,0.666666667,0.666666667,0.517241379,0.366666667,0,0.582733813
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0,0.875,0,0.333333333,0.4,0.517241379,0.466666667,0.9,0.45323741
0.5,0.625,0,1,0,0,0.633333333,0.5,0.352517986
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0,0.625,0.5,0.833333333,0,0,0,0.533333333,0.294964029
0.25,0.75,0,0.4,0,0.896551724,0,0,0.165467626
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.5,0.5,0.333333333,0,0.862068966,0.4,0.4,0.424460432
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.75,0.25,0.833333333,1,0.866666667,0.517241379,1,0.933333333,1
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
1,1,0,0,0,0,0.333333333,0.666666667,0.107913669
0,0.375,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.25,0.5,0,0,0.5,0.75862069,0.266666667,0.533333333,0.330935252
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0.5,0.625,0,1,0,0,0.633333333,0.5,0.352517986
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
0.25,0.625,0,0.4,0,0,0,0.533333333,0.09352518
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0,0.375,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.25,1,0.766666667,0,0,0,0.633333333,0,0.194244604
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0.25,0.5,0,0,0.5,0.75862069,0.266666667,0.533333333,0.330935252
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
1,1,0,0,0,0,0.333333333,0.666666667,0.107913669
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0.25,0.375,1,0.4,0.5,0.75862069,0.266666667,1,0.73381295
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0.25,0.75,0,0.4,0,0.896551724,0,0,0.165467626
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0,0.25,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
1,0.375,0,0.333333333,0,0,0.833333333,0.4,0.230215827
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.5,0,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.5,1,0.666666667,1,0.333333333,0.344827586,0,0,0.395683453
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.25,0.125,1,0.933333333,0,0.586206897,0,0.366666667,0.510791367
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,0.625,0.5,0.666666667,0.333333333,0.862068966,0.4,0,0.482014388
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.5,0.625,0,1,0,0,0.633333333,0.5,0.352517986
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
0,0.125,0.666666667,0.5,0.833333333,0,0.733333333,0.333333333,0.553956835
0.75,0.625,0,0.5,0,1,0.666666667,0.566666667,0.474820144
0.25,0.5,0,0,0.5,0.75862069,0.266666667,0.533333333,0.330935252
1,0.875,0,0,0,0,0.333333333,0.666666667,0.107913669
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0,0.375,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.25,0.375,1,0.4,0.5,0.75862069,0.266666667,1,0.73381295
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.25,0.875,0.766666667,0.933333333,0,0.896551724,0.633333333,0,0.582733813
0.75,0.25,0.833333333,1,0.866666667,0.517241379,1,0.933333333,1
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.5,0.125,0.333333333,0.666666667,0.666666667,0.517241379,0.366666667,0.4,0.525179856
0.75,0.5,0,0,0.866666667,1,0,0.566666667,0.410071942
0,0.75,0.5,0.833333333,0.4,0.517241379,0,0.9,0.568345324
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0.25,0.375,1,0.4,0.5,0.75862069,0.266666667,1,0.73381295
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.25,0.125,1,0.933333333,0,0.586206897,0,0.366666667,0.510791367
0,0.875,0,0.333333333,0.4,0.517241379,0.466666667,0.9,0.45323741
0.75,0.375,0.833333333,0,0.866666667,0,0,0.933333333,0.460431655
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
1,0,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
1,0.125,0.666666667,0,0.833333333,0.413793103,0,0.666666667,0.446043165
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.5,0.5,1,1,1,0.689655172,0.633333333,0.5,0.928057554
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
0.25,0.125,1,0.933333333,0,0.586206897,0,0.366666667,0.510791367
0,1,0,0.333333333,0,0.517241379,0.466666667,0.9,0.366906475
0,0.875,0,0.333333333,0.4,0.517241379,0.466666667,0.9,0.45323741
0.25,0.25,1,0.4,1,0.586206897,0,1,0.748201439
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.75,0,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
0.5,0.25,1,0.666666667,0.666666667,0.517241379,0.366666667,0,0.582733813
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
0.75,0.75,0.9,0.5,0,0,0.666666667,0,0.338129496
0.25,0.75,0,0.4,0,0.896551724,0,0,0.165467626
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
1,0.25,0,0.333333333,0.833333333,0,0.833333333,0.666666667,0.467625899
1,1,0,0,0,0,0.333333333,0.666666667,0.107913669
0.25,0.75,0,0.4,0,0.896551724,0,0,0.165467626
0,0,0.666666667,0,0.833333333,0,0.733333333,0,0.374100719
0.25,0.5,0,0,0.5,0.75862069,0.266666667,0.533333333,0.330935252
0.75,0.875,0.9,0.5,0,0.517241379,0.666666667,0,0.446043165
0,0.375,0,0.5,0.5,0.482758621,0.5,0.333333333,0.388489209
0.5,0.875,0.666666667,0.333333333,0.333333333,0.344827586,0,0,0.251798561
0.25,0.5,0,0,0.5,0.75862069,0.266666667,0.533333333,0.330935252
1,0.75,0,0.666666667,0.333333333,0,0,0,0.107913669
0,0.5,0.5,0.833333333,0.5,0,0,0.533333333,0.402877698
0.5,0.75,0,0,0.333333333,0,0.633333333,0,0.100719424
0.75,0.125,0.6,1,0.5,0.517241379,1,0.933333333,0.870503597
1,1,0,0,0,0,0.333333333,0.666666667,0.107913669
0.5,0.375,1,1,1,0.689655172,0,0,0.683453237
